# This file lists external library dependencies and the ArchLinux
# packages providing them. For example, if the openssl package
# provides libssl.so, there should be a line
#
# ssl openssl
#

Imlib2     imlib2
SDL        sdl
adns       adns
alut       freealut
bz2        bzip2
cblas      blas
crack      cracklib
crypto     openssl
curl       curl
freetype   freetype2
glib       glib2
wmflite    libwmf
il         devil

jpeg       libjpeg
ldap       libldap
pcap       libpcap
png        libpng
x11        libx11
xrandr     libxrandr
xml2       libxml2
exif       libexif
tiff       libtiff
sndfile    libsndfile
gcrypt     libgcrypt
gnutls     gnutls
gnutls-extra      gnutls
fftw3      fftw

pq         postgresql
ssl        openssl
wx         wxgtk
odbc       unixodbc
z          zlib
curses     ncurses
xslt       libxslt
uuid       e2fsprogs
ev         libev
pthread    glibc
m          glibc
gl         libgl
glu        mesa
glut       freeglut
db_cxx     db
sqlite3    sqlite3
xdamage    libxdamage

icui18n          icu
icuuc            icu
icudata          icu

netsnmp        net-snmp
asound         alsa-lib
ffi            libffi
ogg            libogg
theora         libtheora
mtp            libmtp
cv             opencv
highgui        opencv
xss            libxss
idn            libidn
libgsasl       gsasl
event          libevent
gcc_s          gcc-libs
stdc++         gcc-libs

# subsumed into glib

gobject                glib2
gmodule                glib2
gio                    glib2
gthread                glib
gnome-vfs-module
gstreamer-audio        gstreamer0.10-base
gstreamer-base         gstreamer0.10
gstreamer-controller   gstreamer0.10
gstreamer-dataprotocol gstreamer0.10
gstreamer-net          gstreamer0.10
ogremain

webkit      libwebkit
cairo       cairo
pango       pango
pangocairo  pango
gtk+        gtk2
gdk         gtk
gdk-x11-2.0 gtk2
gtk-x11-2.0 gtk2
vte         vte
xine        xine-lib
ncurses     ncurses
ncursesw    ncurses
panel       ncurses

gstreamer              gstreamer0.10
gstreamer-plugins-base gstreamer0.10-base

# Packages from AUR
xenctrl    xen
csound64   csound5
doublefann fann
zmq        zeromq
